arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,repeticao,quantidade_lucros_distintos,mesmo_lucro_todos_algoritmos
CSV_100a1000.csv,300,100,400,7,1,True
CSV_100a1000.csv,300,100,400,8,1,True
CSV_100a1000.csv,300,100,400,9,1,True
CSV_100a1000.csv,300,100,400,10,1,True
CSV_100a1000.csv,300,100,500,1,1,True
CSV_100a1000.csv,300,100,500,2,1,True
CSV_100a1000.csv,300,100,500,3,1,True
CSV_100a1000.csv,300,100,500,4,1,True
CSV_100a1000.csv,300,100,500,5,1,True
CSV_100a1000.csv,300,100,500,6,1,True
CSV_100a1000.csv,300,100,500,7,1,True
CSV_100a1000.csv,300,100,500,8,1,True
CSV_100a1000.csv,300,100,500,9,1,True
CSV_100a1000.csv,300,100,500,10,1,True
CSV_100a1000.csv,300,200,100,1,1,True
CSV_100a1000.csv,300,200,100,2,1,True
CSV_100a1000.csv,300,200,100,3,1,True
CSV_100a1000.csv,300,200,100,4,1,True
CSV_100a1000.csv,300,200,100,5,1,True
CSV_100a1000.csv,300,200,100,6,1,True
CSV_100a1000.csv,300,200,100,7,1,True
CSV_100a1000.csv,300,200,100,8,1,True
CSV_100a1000.csv,300,200,100,9,1,True
CSV_100a1000.csv,300,200,100,10,1,True
CSV_100a1000.csv,300,200,200,1,1,True
CSV_100a1000.csv,300,200,200,2,1,True
CSV_100a1000.csv,300,200,200,3,1,True
CSV_100a1000.csv,300,200,200,4,1,True
CSV_100a1000.csv,300,200,200,5,1,True
CSV_100a1000.csv,300,200,200,6,1,True
