arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,tempo_medio_dp,tempo_medio_bt,tempo_medio_bb,razao_tempo_bt_sobre_dp,razao_tempo_bb_sobre_dp,razao_tempo_bb_sobre_bt
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,200.0,"0,02",,"0,00075",,"0,038",
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,300.0,"0,0082",,"0,0011",,"0,13",
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,400.0,"0,013",,"0,00097",,"0,077",
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,500.0,"0,011",,"0,00072",,"0,067",
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,600.0,"0,014",,"0,00059",,"0,042",
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,700.0,"0,0092",,"0,00089",,"0,097",
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,800.0,"0,0087",,"0,00074",,"0,085",
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,900.0,"0,023",,"0,0012",,"0,053",
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,1000.0,"0,014",,"0,0012",,"0,088",
bb_dp_combinacoes_1000_nwp.csv,200.0,100.0,100.0,"0,015",,"0,023",,"1,5671",
bb_dp_combinacoes_1000_nwp.csv,200.0,100.0,200.0,"0,018",,"0,017",,"0,94",
bb_dp_combinacoes_1000_nwp.csv,200.0,100.0,300.0,"0,021",,"0,017",,"0,81",
bb_dp_combinacoes_1000_nwp.csv,200.0,100.0,400.0,"0,026",,"0,015",,"0,56",
bb_dp_combinacoes_1000_nwp.csv,200.0,100.0,500.0,"0,037",,"0,02",,"0,55",
bb_dp_combinacoes_1000_nwp.csv,200.0,100.0,600.0,"0,047",,"0,031",,"0,66",
bb_dp_combinacoes_1000_nwp.csv,200.0,100.0,700.0,"0,055",,"0,033",,"0,59",
bb_dp_combinacoes_1000_nwp.csv,200.0,100.0,800.0,"0,051",,"0,022",,"0,43",
bb_dp_combinacoes_1000_nwp.csv,200.0,100.0,900.0,"0,061",,"0,014",,"0,23",
bb_dp_combinacoes_1000_nwp.csv,200.0,100.0,1000.0,"0,068",,"0,031",,"0,45",
bb_dp_combinacoes_1000_nwp.csv,200.0,200.0,100.0,"0,018",,"0,021",,"1,1833",
bb_dp_combinacoes_1000_nwp.csv,200.0,200.0,200.0,"0,028",,"0,02",,"0,7",
bb_dp_combinacoes_1000_nwp.csv,200.0,200.0,300.0,"0,04",,"0,012",,"0,3",
bb_dp_combinacoes_1000_nwp.csv,200.0,200.0,400.0,"0,052",,"0,026",,"0,5",
bb_dp_combinacoes_1000_nwp.csv,200.0,200.0,500.0,"0,096",,"0,029",,"0,3",
bb_dp_combinacoes_1000_nwp.csv,200.0,200.0,600.0,"0,096",,"0,03",,"0,31",
bb_dp_combinacoes_1000_nwp.csv,200.0,200.0,700.0,"0,13",,"0,039",,"0,3",
bb_dp_combinacoes_1000_nwp.csv,200.0,200.0,800.0,"0,11",,"0,015",,"0,14",
bb_dp_combinacoes_1000_nwp.csv,200.0,200.0,900.0,"0,19",,"0,028",,"0,15",
bb_dp_combinacoes_1000_nwp.csv,200.0,200.0,1000.0,"0,24",,"0,041",,"0,17",
bb_dp_combinacoes_1000_nwp.csv,200.0,300.0,100.0,"0,045",,"0,048",,"1,0871",
bb_dp_combinacoes_1000_nwp.csv,200.0,300.0,200.0,"0,071",,"0,043",,"0,61",
bb_dp_combinacoes_1000_nwp.csv,200.0,300.0,300.0,"0,099",,"0,03",,"0,31",
bb_dp_combinacoes_1000_nwp.csv,200.0,300.0,400.0,"0,11",,"0,03",,"0,28",
bb_dp_combinacoes_1000_nwp.csv,200.0,300.0,500.0,"0,14",,"0,036",,"0,25",
bb_dp_combinacoes_1000_nwp.csv,200.0,300.0,600.0,"0,19",,"0,039",,"0,2",
bb_dp_combinacoes_1000_nwp.csv,200.0,300.0,700.0,"0,2",,"0,051",,"0,25",
bb_dp_combinacoes_1000_nwp.csv,200.0,300.0,800.0,"0,26",,"0,07",,"0,27",
bb_dp_combinacoes_1000_nwp.csv,200.0,300.0,900.0,"0,22",,"0,036",,"0,16",
bb_dp_combinacoes_1000_nwp.csv,200.0,300.0,1000.0,"0,22",,"0,034",,"0,16",
bb_dp_combinacoes_1000_nwp.csv,200.0,400.0,100.0,"0,044",,"0,028",,"0,63",
bb_dp_combinacoes_1000_nwp.csv,200.0,400.0,200.0,"0,11",,"0,08",,"0,75",
bb_dp_combinacoes_1000_nwp.csv,200.0,400.0,300.0,"0,12",,"0,032",,"0,26",
