arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,algoritmo,execucoes,tempo_medio,tempo_mediano,desvio_padrao_tempo,tempo_minimo,tempo_maximo,lucro_medio,coeficiente_variacao_tempo
CSV_100a1000.csv,400,200,100,bb,10,"4,5362","1,7578","7,8062","0,086","25,8800",7312.0,"1,7209"
CSV_100a1000.csv,400,200,200,dp,10,"0,13","0,13","0,032","0,071","0,19",7319.7,"0,25"
CSV_100a1000.csv,400,200,200,bt,10,"14,4491","13,2559","8,5969","4,5775","29,2430",7319.7,"0,59"
CSV_100a1000.csv,400,200,200,bb,10,"1,9518","1,6754","1,0102","1,2726","4,6947",7319.7,"0,52"
CSV_100a1000.csv,400,200,300,dp,10,"0,2","0,19","0,024","0,18","0,25",6674.6,"0,12"
CSV_100a1000.csv,400,200,300,bt,10,"10,1400","7,7317","10,6741","2,6549","39,3199",6674.6,"1,0527"
CSV_100a1000.csv,400,200,300,bb,10,"1,8044","1,5597","1,4210","0,62","5,4802",6674.6,"0,79"
CSV_100a1000.csv,400,200,400,dp,10,"0,32","0,34","0,092","0,16","0,46",7177.4,"0,29"
CSV_100a1000.csv,400,200,400,bt,10,"12,4610","10,6088","13,1744","0,6","46,0412",7177.4,"1,0572"
CSV_100a1000.csv,400,200,400,bb,10,"1,9558","1,0786","2,2793","0,13","6,6367",7177.4,"1,1654"
CSV_100a1000.csv,400,200,500,dp,10,"0,45","0,4","0,18","0,26","0,85",7018.4,"0,41"
CSV_100a1000.csv,400,200,500,bt,10,"18,4996","6,4436","21,3516","2,2613","68,4122",7018.4,"1,1542"
CSV_100a1000.csv,400,200,500,bb,10,"1,5399","0,9","1,2950","0,49","3,8011",7018.4,"0,84"
CSV_100a1000.csv,400,300,100,dp,10,"0,093","0,077","0,025","0,074","0,13",6967.3,"0,27"
CSV_100a1000.csv,400,300,100,bt,10,"15,2600","8,9980","13,9768","3,0471","38,7961",6967.3,"0,92"
CSV_100a1000.csv,400,300,100,bb,10,"1,5598","1,3230","1,1579","0,3","3,5717",6967.3,"0,74"
CSV_100a1000.csv,400,300,200,dp,10,"0,16","0,15","0,033","0,12","0,2",7401.1,"0,21"
CSV_100a1000.csv,400,300,200,bt,10,"18,7368","9,2546","27,3839","2,7475","93,9074",7401.1,"1,4615"
CSV_100a1000.csv,400,300,200,bb,10,"1,6221","1,5500","1,1901","0,25","3,8463",7401.1,"0,73"
CSV_100a1000.csv,400,300,300,dp,10,"0,29","0,28","0,1","0,15","0,5",6813.4,"0,36"
CSV_100a1000.csv,400,300,300,bt,10,"13,5828","8,8359","11,4274","1,2030","30,5586",6813.4,"0,84"
CSV_100a1000.csv,400,300,300,bb,10,"1,2821","1,1097","0,98","0,26","3,2298",6813.4,"0,77"
CSV_100a1000.csv,400,300,400,dp,10,"0,58","0,58","0,21","0,31","0,93",7444.2,"0,36"
CSV_100a1000.csv,400,300,400,bt,10,"21,1209","12,9898","27,3483","1,5376","96,8060",7444.2,"1,2948"
CSV_100a1000.csv,400,300,400,bb,10,"1,3413","1,1973","0,72","0,37","2,3344",7444.2,"0,54"
CSV_100a1000.csv,400,300,500,dp,10,"0,7","0,73","0,31","0,34","1,1716",6859.6,"0,44"
CSV_100a1000.csv,400,300,500,bt,10,"8,5610","3,7043","11,6814","1,1724","39,2735",6859.6,"1,3645"
CSV_100a1000.csv,400,300,500,bb,10,"0,74","0,35","0,87","0,17","2,6688",6859.6,"1,1758"
CSV_100a1000.csv,400,400,100,dp,10,"0,15","0,16","0,037","0,096","0,2",7412.1,"0,25"
CSV_100a1000.csv,400,400,100,bt,10,"20,8046","15,1010","18,0580","3,4819","51,2019",7412.1,"0,87"
CSV_100a1000.csv,400,400,100,bb,10,"2,2840","1,6164","2,1087","0,26","6,8270",7412.1,"0,92"
CSV_100a1000.csv,400,400,200,dp,10,"0,26","0,22","0,099","0,17","0,47",6695.6,"0,38"
CSV_100a1000.csv,400,400,200,bt,10,"9,8648","6,5173","8,9679","2,3550","29,4893",6695.6,"0,91"
CSV_100a1000.csv,400,400,200,bb,10,"1,1240","0,8","0,94","0,26","3,4088",6695.6,"0,84"
CSV_100a1000.csv,400,400,300,dp,10,"0,52","0,39","0,31","0,28","1,0498",7056.1,"0,59"
CSV_100a1000.csv,400,400,300,bt,10,"47,9998","9,3464","77,5131","2,8102","194,4518",7056.1,"1,6149"
CSV_100a1000.csv,400,400,300,bb,10,"6,1809","1,2842","11,3360","0,19","36,2651",7056.1,"1,8340"
CSV_100a1000.csv,400,400,400,dp,10,"1,0399","0,99","0,38","0,4","1,6496",7612.1,"0,37"
CSV_100a1000.csv,400,400,400,bt,10,"31,1554","10,1163","59,5887","3,6518","198,2179",7612.1,"1,9126"
CSV_100a1000.csv,400,400,400,bb,10,"1,4997","1,0997","1,3055","0,16","4,4105",7612.1,"0,87"
CSV_100a1000.csv,400,400,500,dp,10,"1,5335","1,2966","0,97","0,77","3,9271",7201.3,"0,63"
CSV_100a1000.csv,400,400,500,bt,10,"22,7179","14,0597","22,0805","1,2864","69,3686",7201.3,"0,97"
CSV_100a1000.csv,400,400,500,bb,10,"2,4170","1,6389","2,0338","0,16","6,4038",7201.3,"0,84"
CSV_100a1000.csv,400,500,100,dp,10,"0,15","0,15","0,026","0,11","0,19",6991.8,"0,17"
CSV_100a1000.csv,400,500,100,bt,10,"10,5853","6,8544","11,3009","2,8583","40,4273",6991.8,"1,0676"
CSV_100a1000.csv,400,500,100,bb,10,"0,78","0,61","0,42","0,37","1,6023",6991.8,"0,54"
CSV_100a1000.csv,400,500,200,dp,10,"0,36","0,37","0,082","0,2","0,47",7517.7,"0,23"
CSV_100a1000.csv,400,500,200,bt,10,"33,5050","8,3703","58,6846","1,8483","194,1976",7517.7,"1,7515"
CSV_100a1000.csv,400,500,200,bb,10,"1,2449","1,0259","1,1118","0,14","3,5955",7517.7,"0,89"
CSV_100a1000.csv,400,500,300,dp,10,"0,93","0,93","0,3","0,55","1,4295",7776.6,"0,33"
CSV_100a1000.csv,400,500,300,bt,10,"26,6543","15,8497","22,5936","7,4564","64,1605",7776.6,"0,85"
CSV_100a1000.csv,400,500,300,bb,10,"2,7965","1,6588","2,7898","0,34","9,0152",7776.6,1
CSV_100a1000.csv,400,500,400,dp,10,"1,3643","1,4456","0,6","0,48","2,0878",7217.2,"0,44"
CSV_100a1000.csv,400,500,400,bt,10,"26,1252","13,7461","31,8763","1,5648","101,1296",7217.2,"1,2201"
CSV_100a1000.csv,400,500,400,bb,10,"3,5587","2,3643","3,6060","0,28","10,8838",7217.2,"1,0133"
CSV_100a1000.csv,400,500,500,dp,10,"1,7542","1,7069","0,63","1,0157","2,6977",7319.3,"0,36"
