arquivo_csv,quantidade_itens,capacidade_peso,capacidade_volume,algoritmo_mais_rapido,menor_tempo_medio
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,100000000.0,100000000.0,bb,"0,48"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,100000000.0,1000000000.0,bb,"0,29"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000000000.0,1000.0,bb,"0,29"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000000000.0,100000.0,bb,"0,42"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000000000.0,1000000.0,bb,"0,33"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000000000.0,10000000.0,bb,"0,26"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000000000.0,100000000.0,bb,"0,37"
CSV_300itens_aumento_de_peso_e_volume.csv,300.0,1000000000.0,1000000000.0,bb,"0,43"
bb_dp_combinacoes_1000_nwp.csv,100.0,100.0,100.0,bb,"0,0005"
bb_dp_combinacoes_1000_nwp.csv,100.0,100.0,200.0,bb,"0,00064"
bb_dp_combinacoes_1000_nwp.csv,100.0,100.0,300.0,bb,"0,00052"
bb_dp_combinacoes_1000_nwp.csv,100.0,100.0,400.0,bb,"0,00056"
bb_dp_combinacoes_1000_nwp.csv,100.0,100.0,500.0,bb,"0,00062"
bb_dp_combinacoes_1000_nwp.csv,100.0,100.0,600.0,bb,"0,00084"
bb_dp_combinacoes_1000_nwp.csv,100.0,100.0,700.0,bb,"0,00099"
bb_dp_combinacoes_1000_nwp.csv,100.0,100.0,800.0,bb,"0,00037"
bb_dp_combinacoes_1000_nwp.csv,100.0,100.0,900.0,bb,"0,00052"
bb_dp_combinacoes_1000_nwp.csv,100.0,100.0,1000.0,bb,"0,00048"
bb_dp_combinacoes_1000_nwp.csv,100.0,200.0,100.0,bb,"0,00074"
bb_dp_combinacoes_1000_nwp.csv,100.0,200.0,200.0,bb,"0,00077"
bb_dp_combinacoes_1000_nwp.csv,100.0,200.0,300.0,bb,"0,00057"
bb_dp_combinacoes_1000_nwp.csv,100.0,200.0,400.0,bb,"0,00048"
bb_dp_combinacoes_1000_nwp.csv,100.0,200.0,500.0,bb,"0,00092"
bb_dp_combinacoes_1000_nwp.csv,100.0,200.0,600.0,bb,"0,00062"
bb_dp_combinacoes_1000_nwp.csv,100.0,200.0,700.0,bb,"0,0011"
bb_dp_combinacoes_1000_nwp.csv,100.0,200.0,800.0,bb,"0,0009"
bb_dp_combinacoes_1000_nwp.csv,100.0,200.0,900.0,bb,"0,00072"
bb_dp_combinacoes_1000_nwp.csv,100.0,200.0,1000.0,bb,"0,00068"
bb_dp_combinacoes_1000_nwp.csv,100.0,300.0,100.0,bb,"0,00054"
bb_dp_combinacoes_1000_nwp.csv,100.0,300.0,200.0,bb,"0,0012"
bb_dp_combinacoes_1000_nwp.csv,100.0,300.0,300.0,bb,"0,00055"
bb_dp_combinacoes_1000_nwp.csv,100.0,300.0,400.0,bb,"0,00058"
bb_dp_combinacoes_1000_nwp.csv,100.0,300.0,500.0,bb,"0,00066"
bb_dp_combinacoes_1000_nwp.csv,100.0,300.0,600.0,bb,"0,00097"
bb_dp_combinacoes_1000_nwp.csv,100.0,300.0,700.0,bb,"0,00055"
bb_dp_combinacoes_1000_nwp.csv,100.0,300.0,800.0,bb,"0,00086"
bb_dp_combinacoes_1000_nwp.csv,100.0,300.0,900.0,bb,"0,00092"
bb_dp_combinacoes_1000_nwp.csv,100.0,300.0,1000.0,bb,"0,0008"
bb_dp_combinacoes_1000_nwp.csv,100.0,400.0,100.0,bb,"0,0005"
bb_dp_combinacoes_1000_nwp.csv,100.0,400.0,200.0,bb,"0,00055"
bb_dp_combinacoes_1000_nwp.csv,100.0,400.0,300.0,bb,"0,00081"
bb_dp_combinacoes_1000_nwp.csv,100.0,400.0,400.0,bb,"0,0006"
bb_dp_combinacoes_1000_nwp.csv,100.0,400.0,500.0,bb,"0,00046"
bb_dp_combinacoes_1000_nwp.csv,100.0,400.0,600.0,bb,"0,0008"
bb_dp_combinacoes_1000_nwp.csv,100.0,400.0,700.0,bb,"0,00037"
bb_dp_combinacoes_1000_nwp.csv,100.0,400.0,800.0,bb,"0,0006"
bb_dp_combinacoes_1000_nwp.csv,100.0,400.0,900.0,bb,"0,00057"
bb_dp_combinacoes_1000_nwp.csv,100.0,400.0,1000.0,bb,"0,00041"
bb_dp_combinacoes_1000_nwp.csv,100.0,500.0,100.0,bb,"0,00056"
bb_dp_combinacoes_1000_nwp.csv,100.0,500.0,200.0,bb,"0,00069"
bb_dp_combinacoes_1000_nwp.csv,100.0,500.0,300.0,bb,"0,00051"
bb_dp_combinacoes_1000_nwp.csv,100.0,500.0,400.0,bb,"0,00057"
bb_dp_combinacoes_1000_nwp.csv,100.0,500.0,500.0,bb,"0,00092"
bb_dp_combinacoes_1000_nwp.csv,100.0,500.0,600.0,bb,"0,00074"
bb_dp_combinacoes_1000_nwp.csv,100.0,500.0,700.0,bb,"0,00062"
bb_dp_combinacoes_1000_nwp.csv,100.0,500.0,800.0,bb,"0,00045"
bb_dp_combinacoes_1000_nwp.csv,100.0,500.0,900.0,bb,"0,00042"
bb_dp_combinacoes_1000_nwp.csv,100.0,500.0,1000.0,bb,"0,00058"
bb_dp_combinacoes_1000_nwp.csv,100.0,600.0,100.0,bb,"0,0005"
bb_dp_combinacoes_1000_nwp.csv,100.0,600.0,200.0,bb,"0,0013"
bb_dp_combinacoes_1000_nwp.csv,100.0,600.0,300.0,bb,"0,00045"
bb_dp_combinacoes_1000_nwp.csv,100.0,600.0,400.0,bb,"0,0009"
bb_dp_combinacoes_1000_nwp.csv,100.0,600.0,500.0,bb,"0,00059"
bb_dp_combinacoes_1000_nwp.csv,100.0,600.0,600.0,bb,"0,00071"
bb_dp_combinacoes_1000_nwp.csv,100.0,600.0,700.0,bb,"0,00049"
bb_dp_combinacoes_1000_nwp.csv,100.0,600.0,800.0,bb,"0,0011"
bb_dp_combinacoes_1000_nwp.csv,100.0,600.0,900.0,bb,"0,00051"
bb_dp_combinacoes_1000_nwp.csv,100.0,600.0,1000.0,bb,"0,00065"
bb_dp_combinacoes_1000_nwp.csv,100.0,700.0,100.0,bb,"0,0004"
bb_dp_combinacoes_1000_nwp.csv,100.0,700.0,200.0,bb,"0,00099"
bb_dp_combinacoes_1000_nwp.csv,100.0,700.0,300.0,bb,"0,00077"
bb_dp_combinacoes_1000_nwp.csv,100.0,700.0,400.0,bb,"0,0006"
bb_dp_combinacoes_1000_nwp.csv,100.0,700.0,500.0,bb,"0,0005"
bb_dp_combinacoes_1000_nwp.csv,100.0,700.0,600.0,bb,"0,00055"
bb_dp_combinacoes_1000_nwp.csv,100.0,700.0,700.0,bb,"0,00071"
bb_dp_combinacoes_1000_nwp.csv,100.0,700.0,800.0,bb,"0,0014"
bb_dp_combinacoes_1000_nwp.csv,100.0,700.0,900.0,bb,"0,00049"
bb_dp_combinacoes_1000_nwp.csv,100.0,700.0,1000.0,bb,"0,00071"
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,100.0,bb,"0,0008"
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,200.0,bb,"0,00042"
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,300.0,bb,"0,00065"
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,400.0,bb,"0,00084"
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,500.0,bb,"0,00053"
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,600.0,bb,"0,00072"
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,700.0,bb,"0,00077"
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,800.0,bb,"0,00069"
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,900.0,bb,"0,00092"
bb_dp_combinacoes_1000_nwp.csv,100.0,800.0,1000.0,bb,"0,00086"
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,100.0,bb,"0,00065"
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,200.0,bb,"0,0008"
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,300.0,bb,"0,00049"
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,400.0,bb,"0,00096"
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,500.0,bb,"0,0012"
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,600.0,bb,"0,00087"
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,700.0,bb,"0,00069"
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,800.0,bb,"0,00064"
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,900.0,bb,"0,00068"
bb_dp_combinacoes_1000_nwp.csv,100.0,900.0,1000.0,bb,"0,00066"
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,100.0,bb,"0,00084"
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,200.0,bb,"0,00075"
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,300.0,bb,"0,0011"
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,400.0,bb,"0,00097"
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,500.0,bb,"0,00072"
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,600.0,bb,"0,00059"
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,700.0,bb,"0,00089"
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,800.0,bb,"0,00074"
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,900.0,bb,"0,0012"
bb_dp_combinacoes_1000_nwp.csv,100.0,1000.0,1000.0,bb,"0,0012"
