n,W,V,rep,instance,algorithm,profit,chosen_items,time_seconds,time_unit
100,1000,10000000,7,instances/n100_w1000_v10000000_r7.txt,dp,5905,"1 11 17 31 39 59 94",0.037188876,seconds
100,1000,10000000,7,instances/n100_w1000_v10000000_r7.txt,bt,5905,"1 11 17 31 39 59 94",0.014361753,seconds
100,1000,10000000,7,instances/n100_w1000_v10000000_r7.txt,bb,5905,"1 11 17 31 39 59 94",0.001903818,seconds
100,1000,10000000,8,instances/n100_w1000_v10000000_r8.txt,dp,3595,"4 38 96 98 99",0.005106143,seconds
100,1000,10000000,8,instances/n100_w1000_v10000000_r8.txt,bt,3595,"4 38 96 98 99",0.001246630,seconds
100,1000,10000000,8,instances/n100_w1000_v10000000_r8.txt,bb,3595,"4 38 96 98 99",0.000225364,seconds
100,1000,10000000,9,instances/n100_w1000_v10000000_r9.txt,dp,3344,"43 49 86 92",0.001249089,seconds
100,1000,10000000,9,instances/n100_w1000_v10000000_r9.txt,bt,3344,"43 49 86 92",0.000380870,seconds
100,1000,10000000,9,instances/n100_w1000_v10000000_r9.txt,bb,3344,"43 49 86 92",0.000307556,seconds
100,1000,10000000,10,instances/n100_w1000_v10000000_r10.txt,dp,4822,"1 29 34 54 84 94 96",0.022556931,seconds
100,1000,10000000,10,instances/n100_w1000_v10000000_r10.txt,bt,4822,"1 29 34 54 84 94 96",0.007488610,seconds
100,1000,10000000,10,instances/n100_w1000_v10000000_r10.txt,bb,4822,"1 29 34 54 84 94 96",0.001812354,seconds
100,1000,100000000,1,instances/n100_w1000_v100000000_r1.txt,dp,4309,"4 25 39 46 58 81 93",0.016583513,seconds
100,1000,100000000,1,instances/n100_w1000_v100000000_r1.txt,bt,4309,"4 25 39 46 58 81 93",0.002572043,seconds
100,1000,100000000,1,instances/n100_w1000_v100000000_r1.txt,bb,4309,"4 25 39 46 58 81 93",0.000452817,seconds
100,1000,100000000,2,instances/n100_w1000_v100000000_r2.txt,dp,5178,"1 3 5 9 65 94",0.007024824,seconds
100,1000,100000000,2,instances/n100_w1000_v100000000_r2.txt,bt,5178,"1 3 5 9 65 94",0.002520742,seconds
100,1000,100000000,2,instances/n100_w1000_v100000000_r2.txt,bb,5178,"1 3 5 9 65 94",0.001037103,seconds
100,1000,100000000,3,instances/n100_w1000_v100000000_r3.txt,dp,4095,"12 47 56 65 75",0.002654002,seconds
100,1000,100000000,3,instances/n100_w1000_v100000000_r3.txt,bt,4095,"12 47 56 65 75",0.000389157,seconds
100,1000,100000000,3,instances/n100_w1000_v100000000_r3.txt,bb,4095,"12 47 56 65 75",0.000133711,seconds
100,1000,100000000,4,instances/n100_w1000_v100000000_r4.txt,dp,4855,"8 12 18 47 71 79",0.005472629,seconds
100,1000,100000000,4,instances/n100_w1000_v100000000_r4.txt,bt,4855,"8 12 18 47 71 79",0.003402103,seconds
100,1000,100000000,4,instances/n100_w1000_v100000000_r4.txt,bb,4855,"8 12 18 47 71 79",0.002051062,seconds
100,1000,100000000,5,instances/n100_w1000_v100000000_r5.txt,dp,5762,"1 8 10 12 29 35 49",0.006455706,seconds
100,1000,100000000,5,instances/n100_w1000_v100000000_r5.txt,bt,5762,"1 8 10 12 29 35 49",0.003177551,seconds
100,1000,100000000,5,instances/n100_w1000_v100000000_r5.txt,bb,5762,"1 8 10 12 29 35 49",0.000076714,seconds
100,1000,100000000,6,instances/n100_w1000_v100000000_r6.txt,dp,3652,"4 35 70 91",0.003103315,seconds
100,1000,100000000,6,instances/n100_w1000_v100000000_r6.txt,bt,3652,"4 35 70 91",0.000452313,seconds
100,1000,100000000,6,instances/n100_w1000_v100000000_r6.txt,bb,3652,"4 35 70 91",0.000223731,seconds
100,1000,100000000,7,instances/n100_w1000_v100000000_r7.txt,dp,2729,"9 17 75 82",0.000706890,seconds
100,1000,100000000,7,instances/n100_w1000_v100000000_r7.txt,bt,2729,"9 17 75 82",0.000697644,seconds
100,1000,100000000,7,instances/n100_w1000_v100000000_r7.txt,bb,2729,"9 17 75 82",0.001587253,seconds
100,1000,100000000,8,instances/n100_w1000_v100000000_r8.txt,dp,4850,"14 16 48 68 75 78 91",0.015410519,seconds
100,1000,100000000,8,instances/n100_w1000_v100000000_r8.txt,bt,4850,"14 16 48 68 75 78 91",0.004817695,seconds
100,1000,100000000,8,instances/n100_w1000_v100000000_r8.txt,bb,4850,"14 16 48 68 75 78 91",0.001088990,seconds
100,1000,100000000,9,instances/n100_w1000_v100000000_r9.txt,dp,4298,"2 7 13 20 46 93",0.007353878,seconds
100,1000,100000000,9,instances/n100_w1000_v100000000_r9.txt,bt,4298,"2 7 13 20 46 93",0.003742327,seconds
100,1000,100000000,9,instances/n100_w1000_v100000000_r9.txt,bb,4298,"2 7 13 20 46 93",0.000916119,seconds
100,1000,100000000,10,instances/n100_w1000_v100000000_r10.txt,dp,4168,"28 35 41 53 100",0.003281205,seconds
100,1000,100000000,10,instances/n100_w1000_v100000000_r10.txt,bt,4168,"28 35 41 53 100",0.001495982,seconds
100,1000,100000000,10,instances/n100_w1000_v100000000_r10.txt,bb,4168,"28 35 41 53 100",0.000358882,seconds
100,1000,1000000000,1,instances/n100_w1000_v1000000000_r1.txt,dp,3924,"17 36 44 87 89",0.004079735,seconds
100,1000,1000000000,1,instances/n100_w1000_v1000000000_r1.txt,bt,3924,"17 36 44 87 89",0.001181917,seconds
100,1000,1000000000,1,instances/n100_w1000_v1000000000_r1.txt,bb,3924,"17 36 44 87 89",0.000667141,seconds
100,1000,1000000000,2,instances/n100_w1000_v1000000000_r2.txt,dp,4852,"1 26 38 41 42 49 93",0.057807881,seconds
100,1000,1000000000,2,instances/n100_w1000_v1000000000_r2.txt,bt,4852,"1 26 38 41 42 49 93",0.003613377,seconds
100,1000,1000000000,2,instances/n100_w1000_v1000000000_r2.txt,bb,4852,"1 26 38 41 42 49 93",0.000312831,seconds
100,1000,1000000000,3,instances/n100_w1000_v1000000000_r3.txt,dp,6102,"1 4 26 34 47 55 60 73",0.065542644,seconds
100,1000,1000000000,3,instances/n100_w1000_v1000000000_r3.txt,bt,6102,"1 4 26 34 47 55 60 73",0.009331393,seconds
100,1000,1000000000,3,instances/n100_w1000_v1000000000_r3.txt,bb,6102,"1 4 26 34 47 55 60 73",0.001472926,seconds
100,1000,1000000000,4,instances/n100_w1000_v1000000000_r4.txt,dp,3269,"12 26 54 80 96",0.005528701,seconds
100,1000,1000000000,4,instances/n100_w1000_v1000000000_r4.txt,bt,3269,"12 26 54 80 96",0.001211660,seconds
100,1000,1000000000,4,instances/n100_w1000_v1000000000_r4.txt,bb,3269,"12 26 54 80 96",0.000541794,seconds
100,1000,1000000000,5,instances/n100_w1000_v1000000000_r5.txt,dp,4004,"5 15 49 55 64 84",0.003635276,seconds
100,1000,1000000000,5,instances/n100_w1000_v1000000000_r5.txt,bt,4004,"5 15 49 55 64 84",0.001725046,seconds
